text,actual,predicted,actual_label,predicted_label,prob_normal,prob_toxic,correct
송이가 조선족 비하한건 잘못한거다 법도 99명 도둑때문에 1명의 무고한 사람이 다쳐서는 안된다고 한다  특히 탈북시 조건없이 도와준 조선족,0,1,normal,toxic,0.46066615,0.5393339,False
방탄사진은 왜여기??지민이는 뭘입어도어울림 이걸 일반화할수가업음 일반인들이 입기에는 힘든의상도 잘어울리는게연예인들이라서,0,1,normal,toxic,0.48332536,0.51667464,False
중국의 발빠른 대처에 박수를! 우리는 북한이 도발하고 포탄 쏘면 식량이나 돈 가져다 주는데.. 테러조직과 타협을 하면 안된다! 어차피 통일은 절대 불가능하다,0,1,normal,toxic,0.47609976,0.5239003,False
뭔소린지 하나도 모르겠다 ;;;,0,1,normal,toxic,0.48411083,0.51588917,False
근데 볍안이 잘 못됐으면 뭐가 잘못됐다는 건지 잘 모르겠네요 특정종교를 위한 법안일 것 같은면 왜 그렇게 생각하는지 이야기 좀 하고 논의 했으면 합니다,0,1,normal,toxic,0.4745858,0.5254142,False
우선 동성애 합법에 대해 찬성하냐는 질문부터가 잘못됬다. 동성애가 사회적으로 받아들여지지않는거지 불법은 아니잖아?,0,1,normal,toxic,0.47587955,0.52412045,False
오른팔이아니라 왼팔이고만,0,1,normal,toxic,0.4850387,0.5149613,False
그 젠더감수성 성인지감수성인지 머시기하는 거에 들어가는 1년예산으로 도쿄올림픽 2번을 치를수 있고 4대강을 수없이 많이 할 수 있는걸,0,1,normal,toxic,0.48223695,0.517763,False
뉴스나왔잖아. 남은것들은 추후 탈레반이 사용하면 할수록 유지 보수가 어려운것들이고. 오히려 미국으로 다시 가져오는게 더 손해라고 돈많은 미군의 셈법이다 우리나란줄 아나,0,1,normal,toxic,0.4678323,0.5321677,False
다굴맞는데 이걸버티네 4:1로 말싸움하다가 주먹질 안한게 다행일정도; 부처다부처 셀프 패드립은 좀 역겹네 어머니께서 변호사 국회의원 되는걸 별로 맘에 안들어하셧나보네요 안타깝습니다 여러모로,0,1,normal,toxic,0.47685334,0.5231466,False
대체 뭐가 문제일까요? 왜 그런 댓글을 달까요? 진짜 진심으로 정말로 이해가 안됩니다,0,1,normal,toxic,0.47642556,0.5235744,False
이나라가 중국땅이냐 한국땅이냐,0,1,normal,toxic,0.45838255,0.54161745,False
여러분 이들은 차별금지법을 제대로 이해하지못해서 저러는게 아닙니다. 제.대.로. 이해하고 있기때문에 악법으로 활용하는 악한 자들 입니다. 차별하자는게 아니라 역차별을 반대합니다.,0,1,normal,toxic,0.49176478,0.5082352,False
표현의자유를 억압하는 차별금지법 반대합니다다수의 인권을 역차별하는 독재법 절대 반대합니다,0,1,normal,toxic,0.4738911,0.5261089,False
선수들 그만 괴롭혀라 쭉정이들 편들지말고,0,1,normal,toxic,0.46585506,0.53414494,False
이러다가 남자랑 여자랑 전쟁하는 시대오겠네....어쩌다이리된건가요,0,1,normal,toxic,0.48259756,0.5174024,False
월급을 못가져가도 괜찮죠 김태욱집안이 어마어마한 부자라 적자가 나도 걱정없는데.,0,1,normal,toxic,0.46691418,0.5330858,False
애초에 남혐단어도 아닌데 저러냐,0,1,normal,toxic,0.4550201,0.54497993,False
지린저기 조선족 동네 아닌가? 작년에 보니 조선족이 우리보고 중국을 보고 배우라고 하던데.,0,1,normal,toxic,0.4765868,0.5234132,False
지금당장 오세윤 조사받고,0,1,normal,toxic,0.47835064,0.52164936,False
10만 동의가 전 국민을 대표한단 말인가? 어쩜 힘을가진 극소수가 밀어부친거 아닌가? 이리되면 극소수가 대부분 평범한 국민을 역으로 차별하는거 아닌가?,0,1,normal,toxic,0.45879197,0.54120797,False
"포괄적 차별 금지법 반대를 종교인들만 하고있지 않습니다. 종교인 외에도 국민들도 반대하고 있습니다.또한 반대가 있으면 찬성도 함께 있겠죠. 사실 동성애는 종교적인 부분을 떠나 윤리적, 사회적 등 부분에 문제점이 많은건 사실이고 이러한 부분때문에 반대의견이 나오는거구요",0,1,normal,toxic,0.49040264,0.5095973,False
아니요. 말 장난 선동하는 사람들이 사람들 가지고 사기 치기 쉬워진 세상 입니다.,0,1,normal,toxic,0.4786966,0.5213034,False
정보통신기술판매솤ㅋㅋㅋㅋㅋㅋㅋ,0,1,normal,toxic,0.4721091,0.52789086,False
머리로는 이해되는데 가슴으론 이해안됨 사실 난 조현병환자인데 사회에서 '난 조현병환자입니다' 말 못하는것 말할경우 차별당하는건 얘네들과 같지만 나는 병이고 성소수자는.. 잘 모르겠다,0,1,normal,toxic,0.47182566,0.52817434,False
존중받을 성적 취향과 그렇지 않을 취향의 경계가 뭔데? 호모? 스캇? 페도? 어디까지 존중해줘야되는데? 기준이 뭔데? 누가 무슨 권리로 그걸 정하지?,0,1,normal,toxic,0.494897,0.505103,False
동성인데.. 남편이라고 하면 반대는 아내인가? 둘다 남편인가? 넘나리 이상하다 ㅠ 제발 배부른 이상한짓 그만하고 굶고 북한공산당이 죽이는 진짜 인권 얘기좀 해주길..,0,1,normal,toxic,0.45874554,0.54125446,False
근데 그 단어 왜썼는지 답변해준적있냐??,0,1,normal,toxic,0.4736902,0.5263097,False
법은 안됨 그건 차원이 다른 이야기임 차별금지법만 생기면 비극이 사라질꺼라는 생각은 판타지임,0,1,normal,toxic,0.48448545,0.51551455,False
우크라이나는 러시아 니들 것이아니다!!!,0,1,normal,toxic,0.4936879,0.50631213,False
반미 하는 조선일보 댓글들,0,1,normal,toxic,0.45870426,0.54129577,False
뭐라는거야 도대체,0,1,normal,toxic,0.4904243,0.5095757,False
정상국가로 갈려면 차별금지법은 반드시 입법화가 되어야 합니다.이래야 망국적인 지역차별을 무서워서라도 못합니다.정의당이 별로지만 이사안은 옳다고 봅니다,0,1,normal,toxic,0.47841287,0.5215871,False
팩트가 없는 팩트 체크,0,1,normal,toxic,0.4878658,0.5121342,False
차별금지법이 그 차별금지법이 아니고 합당되었을때 있을 수 있는 국민의당 과 국민의힘 당직자들에 대한 차별을 하지않는 다는 것입니다. 제대로 아시고 댓글 다세요.,0,1,normal,toxic,0.49377212,0.50622785,False
키야야ㅏ 국뽕,0,1,normal,toxic,0.49407837,0.5059216,False
저 방울뱀 얘기 우리나라에  했으면 고인모독이겠지ㅋㅋ,0,1,normal,toxic,0.46067795,0.539322,False
한번도 안넘기고 풀로 본건 처음인듯 ㅋㅋ 개웃겨 ㅋㅋ,0,1,normal,toxic,0.47066295,0.529337,False
왜! 책임을 지냐?,0,1,normal,toxic,0.45875233,0.54124767,False
텔레반 애들 신났네 신났어,0,1,normal,toxic,0.4889075,0.51109254,False
저런걸보면은 삼면이 바다인 우리나라는 대단혀 ㅎㅎ,0,1,normal,toxic,0.49218768,0.5078123,False
소수가 다수를 역차별하는 부작용이 많은 법이기에 반대합니다,0,1,normal,toxic,0.49931267,0.50068736,False
혈액형이 3번 바뀐  ㅋㅋㅋ,0,1,normal,toxic,0.4803803,0.5196197,False
남자도 무조건 애낳으면 2년 육아 전담의무화,0,1,normal,toxic,0.48045933,0.51954067,False
반대겠지 ㅎㅎㅎ,0,1,normal,toxic,0.49412367,0.50587636,False
이땅에사는 그누구라도 차별받아선 안되지,0,1,normal,toxic,0.48138964,0.51861036,False
차별? 살인자도 품어주고 회개하면 목사도 되는 게 우리 개신교다! 사람은 사랑하지만 죄 자체는 잘못이라고 말해야 한다!,0,1,normal,toxic,0.48886257,0.51113737,False
취직하거나 사업을 해서 부가가치를 창출해야할 인원들이  남 감시하고 길목마다 하루종일 초소지키는데 낭비를 하고있으니 사회가 발전할 수 없지요,0,1,normal,toxic,0.46518153,0.5348185,False
지원한다니깐 진짜 지원하는줄 알더라,0,1,normal,toxic,0.49735335,0.5026466,False
왤케 웃음이나죠?,0,1,normal,toxic,0.49517617,0.5048238,False
베트남이나 태국이나 수도권에 원래부터 살던애들은 경제력이 한국못지않음... 그리고 개인적 느낌이지만 애들이 착하고 영어는 기본패치되있더라구요... 덤으로 중국어나 한국어도 패치된애들도 많음 ... 웃긴건 일어는 별루없엇음...,0,1,normal,toxic,0.47327098,0.526729,False
찬성하면 선이고 반대하면 악인가? 이런 이분법적인 사고방식이 민식이법을 만들었다.,0,1,normal,toxic,0.4592368,0.5407632,False
저게 사람이더냐 물이 얼마나 먹싶으면 달라사정 했겠느냐 나라가 가난하고 정치가 혼란하면 그나라 국민이 절망이고 고생이다 거기에 비하면 한국은 행복하네요 적이도 물과 밥과 빵은 풍족 하니까요,0,1,normal,toxic,0.48038086,0.51961917,False
그래도 자식도 있는 사람이 담부턴 가면 나이 물어보면 말을 안해준다니 참.... 방송에서 대놓고 얘기 하는건 쫌 그렇지 않나요,0,1,normal,toxic,0.46132293,0.5386771,False
진짜 머랄까.. 한결같다 해야하나 진짜 어찌보면 대단하다,0,1,normal,toxic,0.49884826,0.50115174,False
피난민만 320만명이래. 8000명?? 아마도....그 쪽에서 쫌 살던사람들이겠지. 나머지 돈도 빽도 없는 320만 대부분은 어디로 가니?,0,1,normal,toxic,0.46904215,0.5309578,False
도대체 말도 안되는 기사를 왜 싣는걸까? 읽은 시간도 아깝다,0,1,normal,toxic,0.46962392,0.5303761,False
말만 바꾸어 건강가정기본법 이라는 명목아래 그안에 숨어있는 의도가 의심스럽네요절대 반대합니다,0,1,normal,toxic,0.49631265,0.5036873,False
IS들은 탈레반 변절자라 안좋아하고 아프칸에서는 탈레반 싫어하니... 참~~,0,1,normal,toxic,0.45269674,0.54730326,False
남성에 비해 여성을 얼마나 우대해주냐만 따져서 저런결과가 나옴. 각 나라별 특수성은 반영안됨. 진짜 저런걸 자료라고 가져오는 사람은 뭐하는 사람임?,0,1,normal,toxic,0.4625363,0.5374637,False
ㄴ동의 다시 안내보냈잖아 불체자도 아니고 그럼 수용한거지,0,1,normal,toxic,0.45763874,0.54236126,False
원댓글러님....본문기사의 논점에서 벗어난 것이군요. 법 너무 좋아하지 마시길! 그러면 법의 식민지 순식간이고...전체주의 지름길!,0,1,normal,toxic,0.4940885,0.50591147,False
전쟁은 균형이 깨지면 발생한다. 북한이 핵무장을 한 이상 남한도 핵무장을 해야됨,0,1,normal,toxic,0.49623218,0.5037678,False
지들도하면서,0,1,normal,toxic,0.47172529,0.5282747,False
